owner_id	friends	gender	sCON	sEXT	sAGR	sOPN	sNEU
183710909.0	106.0	False	67.0	61.0	64.0	67.0	68.0
71137975.0	295.0	True	67.0	61.0	64.0	67.0	68.0
2198076.0	105.0	True	57.0	51.0	54.0	58.0	24.0
51506762.0	51.0	True	62.0	60.0	51.0	63.0	58.0
60844320.0	112.0	True	49.0	36.0	44.0	48.0	45.0
23264734.0	302.0	True	40.0	56.0	54.0	54.0	41.0
5746.0	482.0	True	45.0	54.0	60.0	62.0	37.0
87800902.0	242.0	True	67.0	41.0	60.0	58.0	50.0
34586489.0	172.0	True	50.0	64.0	60.0	71.0	64.0
39768104.0	267.0	False	54.0	48.0	46.0	55.0	64.0
344629016.0	92.0	False	48.0	44.0	46.0	49.0	62.0
26765936.0	201.0	False	44.0	46.0	51.0	49.0	69.0
2971903.0	412.0	True	43.0	50.0	57.0	51.0	60.0
3702231.0	311.0	True	65.0	47.0	67.0	59.0	56.0
159094254.0	264.0	True	52.0	48.0	41.0	54.0	42.0
225287563.0	76.0	True	59.0	35.0	48.0	56.0	44.0
50289601.0	274.0	True	46.0	48.0	54.0	59.0	39.0
15765229.0	181.0	False	66.0	55.0	56.0	57.0	45.0
0.0	150.0	True	39.0	41.0	30.0	61.0	59.0
70085780.0	81.0	True	46.0	46.0	34.0	57.0	66.0
170224291.0	113.0	True	62.0	48.0	35.0	63.0	47.0
317998474.0	315.0	False	49.0	46.0	31.0	58.0	69.0
162909840.0	142.0	False	60.0	49.0	30.0	67.0	51.0
0.0	98.0	False	44.0	59.0	38.0	63.0	53.0
60791124.0	141.0	True	51.0	54.0	43.0	62.0	49.0
27058416.0	180.0	False	63.0	49.0	49.0	52.0	23.0
94066719.0	131.0	True	62.0	45.0	56.0	55.0	43.0
6842801.0	321.0	True	58.0	43.0	50.0	56.0	48.0
15346136.0	300.0	True	30.0	37.0	64.0	54.0	70.0
157907116.0	87.0	False	49.0	32.0	61.0	48.0	75.0
3421120.0	107.0	False	38.0	53.0	31.0	48.0	60.0
33212383.0	207.0	True	51.0	41.0	45.0	50.0	67.0
20802612.0	154.0	False	50.0	56.0	60.0	64.0	49.0
28012667.0	179.0	True	60.0	50.0	56.0	54.0	34.0
107817343.0	441.0	False	61.0	48.0	45.0	56.0	58.0
267140490.0	72.0	False	45.0	44.0	63.0	63.0	48.0
18910355.0	225.0	True	33.0	29.0	27.0	39.0	47.0
273780971.0	59.0	True	39.0	32.0	37.0	34.0	45.0
0.0	30.0	True	31.0	26.0	51.0	55.0	66.0
478321.0	75.0	True	52.0	53.0	51.0	63.0	51.0
2412512.0	151.0	False	63.0	39.0	58.0	35.0	50.0
38020195.0	46.0	True	61.0	43.0	58.0	54.0	61.0
40527812.0	214.0	False	56.0	61.0	63.0	69.0	19.0
34929794.0	126.0	True	71.0	42.0	62.0	55.0	39.0
196017324.0	86.0	False	58.0	38.0	65.0	60.0	47.0
50780197.0	61.0	True	60.0	33.0	42.0	39.0	62.0
199257129.0	302.0	True	50.0	54.0	51.0	68.0	24.0
96861114.0	59.0	True	59.0	35.0	51.0	47.0	48.0
218406555.0	172.0	True	62.0	41.0	56.0	57.0	34.0
